plotID,datetime,SM_10,SM_20
AEG45,2238,NA,NA
AEG45,2239,NA,NA
AEG45,2240,NA,NA
AEG45,2241,NA,NA
AEG45,2242,NA,NA
AEG45,2243,NA,NA
AEG45,2244,NA,NA
AEG45,2245,NA,NA
AEG45,2246,NA,NA
AEG45,2247,NA,NA
AEG45,2248,NA,NA
AEG45,2249,NA,NA
AEG45,2250,NA,NA
AEG45,2251,NA,NA
AEG45,2252,NA,NA
AEG45,2253,NA,NA
AEG45,2254,NA,NA
AEG45,2255,NA,NA
AEG45,2256,NA,NA
AEG45,2257,NA,NA
AEG45,2258,NA,NA
AEG45,2259,NA,NA
AEG45,2260,NA,NA
AEG45,2261,NA,NA
AEG45,2262,NA,NA
AEG45,2263,NA,NA
AEG45,2264,NA,NA
AEG45,2265,NA,NA
AEG45,2266,NA,NA
AEG45,2267,NA,NA
AEG45,2268,NA,NA
AEG45,2269,NA,NA
AEG45,2270,NA,NA
AEG45,2271,NA,NA
AEG45,2272,NA,NA
AEG45,2273,NA,NA
AEG45,2274,NA,NA
AEG45,2275,NA,NA
AEG45,2276,NA,NA
AEG45,2277,NA,NA
AEG45,2278,NA,NA
AEG45,2279,NA,NA
AEG45,2280,NA,NA
AEG45,2281,NA,NA
AEG45,2282,NA,NA
AEG45,2283,NA,NA
AEG45,2284,NA,NA
AEG45,2285,NA,NA
AEG45,2286,NA,NA
AEG45,2287,NA,NA
AEG45,2288,NA,NA
AEG45,2289,NA,NA
AEG45,2290,NA,NA
AEG45,2291,NA,NA
AEG45,2292,NA,NA
AEG45,2293,NA,NA
AEG45,2294,NA,NA
AEG45,2295,NA,NA
AEG45,2296,NA,NA
AEG45,2297,NA,NA
AEG45,2298,NA,NA
AEG45,2299,NA,NA
AEG45,2300,NA,NA
AEG45,2301,NA,NA
AEG45,2302,NA,NA
AEG45,2303,NA,NA
AEG45,2304,NA,NA
AEG45,2305,NA,NA
AEG45,2306,NA,NA
AEG45,2307,NA,NA
AEG45,2308,NA,NA
AEG45,2309,NA,NA
AEG45,2310,NA,NA
AEG45,2311,NA,NA
AEG45,2312,NA,NA
AEG45,2313,NA,NA
AEG45,2314,NA,NA
AEG45,2315,NA,NA
AEG45,2316,NA,NA
AEG45,2317,NA,NA
AEG45,2318,NA,NA
AEG45,2319,NA,NA
AEG45,2320,NA,NA
AEG45,2321,NA,NA
AEG45,2322,NA,NA
AEG45,2323,NA,NA
AEG45,2324,NA,NA
AEG45,2325,NA,NA
AEG45,2326,NA,NA
AEG45,2327,NA,NA
AEG45,2328,NA,NA
AEG45,2329,NA,NA
AEG45,2330,NA,NA
AEG45,2331,NA,NA
AEG45,2332,NA,NA
AEG45,2333,NA,NA
AEG45,2334,NA,NA
AEG45,2335,NA,NA
AEG45,2336,NA,NA
AEG45,2337,NA,NA
AEG45,2338,NA,NA
AEG45,2339,NA,NA
AEG45,2340,NA,NA
AEG45,2341,NA,NA
AEG45,2342,NA,NA
AEG45,2343,NA,NA
AEG45,2344,NA,NA
AEG45,2345,NA,NA
AEG45,2346,NA,NA
AEG45,2347,NA,NA
AEG45,2348,NA,NA
AEG45,2349,NA,NA
AEG45,2350,NA,NA
AEG45,2351,NA,NA
AEG45,2352,NA,NA
AEG45,2353,NA,NA
AEG45,2354,NA,NA
AEG45,2355,NA,NA
AEG45,2356,NA,NA
AEG45,2357,NA,NA
AEG45,2358,NA,NA
AEG45,2359,NA,NA
AEG45,2360,NA,NA
AEG45,2361,NA,NA
AEG45,2362,NA,NA
AEG45,2363,NA,NA
AEG45,2364,NA,NA
AEG45,2365,NA,NA
AEG45,2366,NA,NA
AEG45,2367,NA,NA
AEG45,2368,NA,NA
AEG45,2369,NA,NA
AEG45,2370,NA,NA
AEG45,2371,NA,NA
AEG45,2372,NA,NA
AEG45,2373,NA,NA
AEG45,2374,NA,NA
AEG45,2375,NA,NA
AEG45,2376,NA,NA
AEG45,2377,NA,NA
AEG45,2378,NA,NA
AEG45,2379,NA,NA
AEG45,2380,NA,NA
AEG45,2381,NA,NA
AEG45,2382,NA,NA
AEG45,2383,NA,NA
AEG45,2384,NA,NA
AEG45,2385,NA,NA
AEG45,2386,NA,NA
AEG45,2387,NA,NA
AEG45,2388,NA,NA
AEG45,2389,NA,NA
AEG45,2390,NA,NA
AEG45,2391,NA,NA
AEG45,2392,NA,NA
AEG45,2393,NA,NA
AEG45,2394,NA,NA
AEG45,2395,NA,NA
AEG45,2396,NA,NA
AEG45,2397,NA,NA
AEG45,2398,NA,NA
AEG45,2399,NA,NA
AEG45,2400,NA,NA
AEG45,2401,NA,NA
AEG45,2402,NA,NA
AEG45,2403,NA,NA
AEG45,2404,NA,NA
AEG45,2405,NA,NA
AEG45,2406,NA,NA
AEG45,2407,NA,NA
AEG45,2408,NA,NA
AEG45,2409,NA,NA
AEG45,2410,NA,NA
AEG45,2411,NA,NA
